,airline_name,airline_iata,airline_icao,callsign,airline_country
3449,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
3450,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
3451,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
3452,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
3453,China United Airlines,HR,CUA,LIANHANG,China
3454,Air China,CA,CCA,AIR CHINA,China
3455,Oman Air,WY,OMA,OMAN AIR,Oman
3456,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
3457,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3458,Cape Air,9K,KAP,CAIR,United States
3459,Delta Air Lines,DL,DAL,DELTA,United States
3460,Wings Air,IW,WON,WINGS ABADI,Indonesia
3461,Qatar Airways,QR,QTR,QATARI,Qatar
3462,China United Airlines,HR,CUA,LIANHANG,China
3463,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3464,JetBlue Airways,B6,JBU,JETBLUE,United States
3465,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
3466,Southwest Airlines,WN,SWA,SOUTHWEST,United States
3467,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
3468,Nok Air,DD,NOK,NOK AIR,Thailand
3469,Maya Island Air,MW,MYD,MYLAND,Belize
3470,United Airlines,UA,UAL,UNITED,United States
3471,Tropic Air,PM,TOS,TROPISER,Belize
3472,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3473,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
3474,Tropic Air,PM,TOS,TROPISER,Belize
3475,American Airlines,AA,AAL,AMERICAN,United States
3476,Maya Island Air,MW,MYD,MYLAND,Belize
3477,Tropic Air,PM,TOS,TROPISER,Belize
3478,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
3479,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
3480,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
3481,Qatar Airways,QR,QTR,QATARI,Qatar
3482,Nok Air,DD,NOK,NOK AIR,Thailand
3483,Turkish Airlines,TK,THY,TURKAIR,Turkey
3484,JetBlue Airways,B6,JBU,JETBLUE,United States
3485,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3486,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
3487,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
3488,Air Canada,AC,ACA,AIR CANADA,Canada
3489,Sichuan Airlines,3U,CSC,SI CHUAN,China
