,airline_name,airline_iata,airline_icao,callsign,airline_country
3784,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
3785,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
3786,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
3787,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3788,China United Airlines,HR,CUA,LIANHANG,China
3789,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
3790,China United Airlines,HR,CUA,LIANHANG,China
3791,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
3792,Air Canada,AC,ACA,AIR CANADA,Canada
3793,Qatar Airways,QR,QTR,QATARI,Qatar
3794,Skymark Airlines,BC,SKY,SKYMARK,Japan
3795,Allegiant Air,G4,AAY,ALLEGIANT,United States
3796,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
3797,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
3798,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
3799,Hainan Airlines,HU,CHH,HAINAN,China
3800,Air China,CA,CCA,AIR CHINA,China
3801,Delta Air Lines,DL,DAL,DELTA,United States
3802,China Eastern Airlines,MU,CES,CHINA EASTERN,China
3803,Air Canada,AC,ACA,AIR CANADA,Canada
3804,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
3805,Turkish Airlines,TK,THY,TURKAIR,Turkey
3806,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
3807,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
3808,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
3809,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
3810,Nok Air,DD,NOK,NOK AIR,Thailand
3811,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
3812,Hainan Airlines,HU,CHH,HAINAN,China
3813,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
3814,Air France,AF,AFR,AIRFRANS,France
3815,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
3816,Wings Air,IW,WON,WINGS ABADI,Indonesia
3817,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
3818,Shandong Airlines,SC,CDG,SHANDONG,China
3819,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
3820,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
3821,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
3822,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
3823,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
3824,United Airlines,UA,UAL,UNITED,United States
3825,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
3826,China United Airlines,HR,CUA,LIANHANG,China
3827,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
3828,United Airlines,UA,UAL,UNITED,United States
3829,JetBlue Airways,B6,JBU,JETBLUE,United States
