,origin_airport_name,origin_airport_city,origin_airport_country,origin_airport_iata,origin_icao,origin_lat,origin_long,origin_altitude,origin_timezone
711,Santa Genoveva Airport,Goiania,Brazil,GYN,SBGO,-16.63,-49.22,2450.0,America/Sao_Paulo
712,Baita International Airport,Hohhot,China,HET,ZBHH,40.85,111.82,3556.0,Asia/Shanghai
713,John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA,KSNA,33.68,-117.87,56.0,America/Los_Angeles
714,Suvarnabhumi Airport,Bangkok,Thailand,BKK,VTBS,13.68,100.75,5.0,Asia/Bangkok
715,Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,SASA,-24.86,-65.49,4088.0,America/Argentina/Salta
716,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.55,2.74,27.0,Europe/Madrid
717,Marechal Cunha Machado International Airport,Sao Luis,Brazil,SLZ,SBSL,-2.59,-44.23,178.0,America/Fortaleza
718,,,,,,,,,
719,Cochin International Airport,Kochi,India,COK,VOCI,10.15,76.4,30.0,Asia/Calcutta
720,Brussels Airport,Brussels,Belgium,BRU,EBBR,50.9,4.48,184.0,Europe/Brussels
721,Antalya International Airport,Antalya,Turkey,AYT,LTAI,36.9,30.8,177.0,Europe/Istanbul
722,Inca Manco Capac International Airport,Juliaca,Peru,JUL,SPJL,-15.47,-70.16,12552.0,America/Lima
723,Pinto Martins International Airport,Fortaleza,Brazil,FOR,SBFZ,-3.7800000000000002,-38.53,82.0,America/Fortaleza
724,Hasanuddin International Airport,Ujung Pandang,Indonesia,UPG,WAAA,-5.06,119.55,47.0,Asia/Makassar
725,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,SBRF,-8.13,-34.92,33.0,America/Fortaleza
726,Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.56,13.29,122.0,Europe/Berlin
727,Shanghai Pudong International Airport,Shanghai,China,PVG,ZSPD,31.14,121.81,13.0,Asia/Shanghai
728,Memphis International Airport,Memphis,United States,MEM,KMEM,35.04,-89.98,341.0,America/Chicago
729,Bahia - Jorge Amado Airport,Ilheus,Brazil,IOS,SBIL,-14.82,-39.03,15.0,America/Fortaleza
730,Kraków John Paul II International Airport,Krakow,Poland,KRK,EPKK,50.08,19.78,791.0,Europe/Warsaw
731,Wenzhou Longwan International Airport,Wenzhou,China,WNZ,ZSWZ,27.91,120.85,0.0,Asia/Shanghai
732,Hercílio Luz International Airport,Florianopolis,Brazil,FLN,SBFL,-27.67,-48.55,16.0,America/Sao_Paulo
733,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.68,-79.63,569.0,America/Toronto
734,Jieyang Chaoshan International Airport,Shantou,China,SWA,ZGOW,23.55,116.5,0.0,Asia/Shanghai
735,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.75,-90.37,618.0,America/Chicago
736,Chennai International Airport,Madras,India,MAA,VOMM,12.99,80.17,52.0,Asia/Calcutta
737,Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.69,-74.17,18.0,America/New_York
738,London Luton Airport,London,United Kingdom,LTN,EGGW,51.87,-0.37,526.0,Europe/London
739,Eppley Airfield,Omaha,United States,OMA,KOMA,41.3,-95.89,984.0,America/Chicago
740,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.47,-0.46,83.0,Europe/London
741,Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,27.7,85.36,4390.0,Asia/Katmandu
742,Sunan Shuofang International Airport,Wuxi,China,WUX,ZSWX,31.49,120.43,24.0,Asia/Shanghai
743,Orlando Bezerra de Menezes Airport,Juazeiro Do Norte,Brazil,JDO,SBJU,-7.22,-39.27,1392.0,America/Fortaleza
744,Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,27.7,85.36,4390.0,Asia/Katmandu
745,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.32,-75.67,374.0,America/Toronto
746,William P Hobby Airport,Houston,United States,HOU,KHOU,29.65,-95.28,46.0,America/Chicago
747,Yemelyanovo Airport,Krasnoyarsk,Russia,KJA,UNKL,56.17,92.49,942.0,Asia/Krasnoyarsk
748,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,ADZ,SKSP,12.58,-81.71,19.0,America/Bogota
749,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,Peru,IQT,SPQT,-3.7800000000000002,-73.31,306.0,America/Lima
750,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.75,101.71,69.0,Asia/Kuala_Lumpur
751,Tokyo Haneda International Airport,Tokyo,Japan,HND,RJTT,35.55,139.78,35.0,Asia/Tokyo
752,Santa Maria Airport,Aracaju,Brazil,AJU,SBAR,-10.98,-37.07,23.0,America/Fortaleza
753,Malvinas Argentinas Airport,Ushuaia,Argentina,USH,SAWH,-54.84,-68.3,102.0,America/Argentina/Ushuaia
754,Pdte. Carlos Ibañez del Campo Airport,Punta Arenas,Chile,PUQ,SCCI,-53.0,-70.85,139.0,America/Santiago
755,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.63,9.99,53.0,Europe/Berlin
756,Málaga Airport,Malaga,Spain,AGP,LEMG,36.67,-4.5,53.0,Europe/Madrid
757,Tokyo Haneda International Airport,Tokyo,Japan,HND,RJTT,35.55,139.78,35.0,Asia/Tokyo
758,Del Caribe Santiago Mariño International Airport,Porlamar,Venezuela,PMV,SVMG,10.91,-63.97,74.0,America/Caracas
759,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.57,77.1,777.0,Asia/Calcutta
760,Malvinas Argentinas Airport,Ushuaia,Argentina,USH,SAWH,-54.84,-68.3,102.0,America/Argentina/Ushuaia
761,Bob Hope Airport,Burbank,United States,BUR,KBUR,34.2,-118.36,778.0,America/Los_Angeles
762,Beijing Capital International Airport,Beijing,China,PEK,ZBAA,40.08,116.58,116.0,Asia/Shanghai
763,Jorge Chávez International Airport,Lima,Peru,LIM,SPIM,-12.02,-77.11,113.0,America/Lima
764,El Alto International Airport,La Paz,Bolivia,LPB,SLLP,-16.51,-68.19,13355.0,America/La_Paz
765,Des Moines International Airport,Des Moines,United States,DSM,KDSM,41.53,-93.66,958.0,America/Chicago
766,Tianjin Binhai International Airport,Tianjin,China,TSN,ZBTJ,39.12,117.35,10.0,Asia/Shanghai
767,Diego Aracena Airport,Iquique,Chile,IQQ,SCDA,-20.54,-70.18,155.0,America/Santiago
768,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.79,-67.47,189.0,America/Catamarca
769,Louis Armstrong New Orleans International Airport,New Orleans,United States,MSY,KMSY,29.99,-90.26,4.0,America/Chicago
770,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,LEMD,40.47,-3.56,1998.0,Europe/Madrid
771,Sofia Airport,Sofia,Bulgaria,SOF,LBSF,42.7,23.41,1742.0,Europe/Sofia
772,Lanzhou Zhongchuan Airport,Lanzhou,China,LHW,ZLLL,36.52,103.62,6388.0,Asia/Shanghai
773,Tampa International Airport,Tampa,United States,TPA,KTPA,27.98,-82.53,26.0,America/New_York
774,Shanghai Hongqiao International Airport,Shanghai,China,SHA,ZSSS,31.2,121.34,10.0,Asia/Shanghai
775,Congonhas Airport,Sao Paulo,Brazil,CGH,SBSP,-23.63,-46.66,2631.0,America/Sao_Paulo
776,Zhuhai Jinwan Airport,Zhuhai,China,ZUH,ZGSD,22.01,113.38,23.0,Asia/Shanghai
777,Taiyuan Wusu Airport,Taiyuan,China,TYN,ZBYN,37.75,112.63,2575.0,Asia/Shanghai
778,Eurico de Aguiar Salles Airport,Vitoria,Brazil,VIX,SBVT,-20.26,-40.29,11.0,America/Sao_Paulo
779,Viracopos International Airport,Campinas,Brazil,VCP,SBKP,-23.01,-47.13,2170.0,America/Sao_Paulo
780,Viru Viru International Airport,Santa Cruz,Bolivia,VVI,SLVR,-17.64,-63.14,1224.0,America/La_Paz
781,Hangzhou Xiaoshan International Airport,Hangzhou,China,HGH,ZSHC,30.23,120.43,23.0,Asia/Shanghai
782,Jacksonville International Airport,Jacksonville,United States,JAX,KJAX,30.49,-81.69,30.0,America/New_York
783,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL,MMGL,20.52,-103.31,5016.0,America/Mexico_City
784,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.9,-97.04,607.0,America/Chicago
785,Memphis International Airport,Memphis,United States,MEM,KMEM,35.04,-89.98,341.0,America/Chicago
786,Haikou Meilan International Airport,Haikou,China,HAK,ZJHK,19.93,110.46,75.0,Asia/Shanghai
787,Rodríguez Ballón International Airport,Arequipa,Peru,AQP,SPQU,-16.34,-71.58,8405.0,America/Lima
788,Portland International Airport,Portland,United States,PDX,KPDX,45.59,-122.6,31.0,America/Los_Angeles
789,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.55,2.74,27.0,Europe/Madrid
790,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.49,-80.23,1203.0,America/New_York
791,Sabiha Gökçen International Airport,Istanbul,Turkey,SAW,LTFJ,40.9,29.31,312.0,Europe/Istanbul
792,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.45,-122.31,433.0,America/Los_Angeles
793,Fuzhou Changle International Airport,Fuzhou,China,FOC,ZSFZ,25.94,119.66,46.0,Asia/Shanghai
794,Ürümqi Diwopu International Airport,Urumqi,China,URC,ZWWW,43.91,87.47,2125.0,Asia/Shanghai
795,Austin Bergstrom International Airport,Austin,United States,AUS,KAUS,30.19,-97.67,542.0,America/Chicago
796,Václav Havel Airport Prague,Prague,Czech Republic,PRG,LKPR,50.1,14.26,1247.0,Europe/Prague
797,Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.69,-74.17,18.0,America/New_York
798,Kurumoch International Airport,Samara,Russia,KUF,UWWW,53.5,50.16,477.0,Europe/Samara
799,Daniel K Inouye International Airport,Honolulu,United States,HNL,PHNL,21.32,-157.92,13.0,Pacific/Honolulu
800,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,TJSJ,18.44,-66.0,9.0,America/Puerto_Rico
801,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.79,-67.47,189.0,America/Catamarca
802,Ibiza Airport,Ibiza,Spain,IBZ,LEIB,38.87,1.37,24.0,Europe/Madrid
803,Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.79,-111.98,4227.0,America/Denver
804,Tolmachevo Airport,Novosibirsk,Russia,OVB,UNNT,55.01,82.65,365.0,Asia/Krasnoyarsk
805,Catania-Fontanarossa Airport,Catania,Italy,CTA,LICC,37.47,15.07,39.0,Europe/Rome
806,Dallas Love Field,Dallas,United States,DAL,KDAL,32.85,-96.85,487.0,America/Chicago
807,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,MMPR,20.68,-105.25,23.0,America/Mexico_City
808,Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,LYBE,44.82,20.31,335.0,Europe/Belgrade
809,Changsha Huanghua International Airport,Changcha,China,CSX,ZGHA,28.19,113.22,217.0,Asia/Shanghai
810,New Chitose Airport,Sapporo,Japan,CTS,RJCC,42.78,141.69,82.0,Asia/Tokyo
811,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.69,9.22,1276.0,Europe/Berlin
812,Naha Airport,Okinawa,Japan,OKA,ROAH,26.2,127.65,12.0,Asia/Tokyo
813,Shanghai Hongqiao International Airport,Shanghai,China,SHA,ZSSS,31.2,121.34,10.0,Asia/Shanghai
814,Cancún International Airport,Cancun,Mexico,CUN,MMUN,21.04,-86.88,22.0,America/Cancun
815,Orlando Bezerra de Menezes Airport,Juazeiro Do Norte,Brazil,JDO,SBJU,-7.22,-39.27,1392.0,America/Fortaleza
816,Boise Air Terminal/Gowen Field,Boise,United States,BOI,KBOI,43.56,-116.22,2871.0,America/Denver
817,Chiang Mai International Airport,Chiang Mai,Thailand,CNX,VTCC,18.77,98.96,1036.0,Asia/Bangkok
818,Taiping Airport,Harbin,China,HRB,ZYHB,45.62,126.25,457.0,Asia/Shanghai
819,,,,,,,,,
820,Gustaf III Airport,Gustavia,France,SBH,TFFJ,17.9,-62.84,49.0,
821,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.49,-80.23,1203.0,America/New_York
822,Eduardo Gomes International Airport,Manaus,Brazil,MAO,SBEG,-3.04,-60.05,264.0,America/Boa_Vista
823,Vnukovo International Airport,Moscow,Russia,VKO,UUWW,55.59,37.26,685.0,Europe/Moscow
824,Chicago Midway International Airport,Chicago,United States,MDW,KMDW,41.79,-87.75,620.0,America/Chicago
825,Campo Grande Airport,Campo Grande,Brazil,CGR,SBCG,-20.47,-54.67,1833.0,America/Campo_Grande
826,Tucson International Airport,Tucson,United States,TUS,KTUS,32.12,-110.94,2643.0,America/Phoenix
827,Eurico de Aguiar Salles Airport,Vitoria,Brazil,VIX,SBVT,-20.26,-40.29,11.0,America/Sao_Paulo
828,Valencia Airport,Valencia,Spain,VLC,LEVC,39.49,-0.48,240.0,Europe/Madrid
829,Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,BEL,SBBE,-1.38,-48.48,54.0,America/Belem
830,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece,HER,LGIR,35.34,25.18,115.0,Europe/Athens
831,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.99,-22.61,171.0,Atlantic/Reykjavik
832,Juanda International Airport,Surabaya,Indonesia,SUB,WARR,-7.38,112.79,9.0,Asia/Jakarta
833,Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,SASA,-24.86,-65.49,4088.0,America/Argentina/Salta
834,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.59,130.45,32.0,Asia/Tokyo
835,Birmingham International Airport,Birmingham,United Kingdom,BHX,EGBB,52.45,-1.75,327.0,Europe/London
836,Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,27.7,85.36,4390.0,Asia/Katmandu
837,Gran Canaria Airport,Gran Canaria,Spain,LPA,GCLP,27.93,-15.39,78.0,Atlantic/Canary
838,Senador Nilo Coelho Airport,Petrolina,Brazil,PNZ,SBPL,-9.36,-40.57,1263.0,America/Fortaleza
839,Hasanuddin International Airport,Ujung Pandang,Indonesia,UPG,WAAA,-5.06,119.55,47.0,Asia/Makassar
840,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,LEMD,40.47,-3.56,1998.0,Europe/Madrid
841,Brussels Airport,Brussels,Belgium,BRU,EBBR,50.9,4.48,184.0,Europe/Brussels
842,Comandante Espora Airport,Bahia Blanca,Argentina,BHI,SAZB,-38.73,-62.17,246.0,America/Buenos_Aires
843,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,GRU,SBGR,-23.44,-46.47,2459.0,America/Sao_Paulo
844,Piarco International Airport,Port-of-spain,Trinidad and Tobago,POS,TTPP,10.6,-61.34,58.0,America/Port_of_Spain
845,Philip S. W. Goldson International Airport,Belize City,Belize,BZE,MZBZ,17.54,-88.31,15.0,America/Belize
846,Trondheim Airport Værnes,Trondheim,Norway,TRD,ENVA,63.46,10.92,56.0,Europe/Oslo
847,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR,SACO,-31.32,-64.21,1604.0,America/Cordoba
848,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.96,-119.38,1421.0,America/Vancouver
849,Dabolim Airport,Goa,India,GOI,VAGO,15.38,73.83,150.0,Asia/Calcutta
850,Boryspil International Airport,Kiev,Ukraine,KBP,UKBB,50.35,30.89,427.0,Europe/Kiev
851,Quanzhou Jinjiang International Airport,Quanzhou,China,JJN,ZSQZ,24.8,118.59,0.0,Asia/Shanghai
852,Birmingham International Airport,Birmingham,United Kingdom,BHX,EGBB,52.45,-1.75,327.0,Europe/London
853,Hefei Luogang International Airport,Hefei,China,HFE,ZSOF,31.78,117.3,108.0,Asia/Shanghai
854,Governador José Richa Airport,Londrina,Brazil,LDB,SBLO,-23.33,-51.13,1867.0,America/Sao_Paulo
855,Henri Coandă International Airport,Bucharest,Romania,OTP,LROP,44.57,26.09,314.0,Europe/Bucharest
856,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,KMSP,44.88,-93.22,841.0,America/Chicago
857,La Guardia Airport,New York,United States,LGA,KLGA,40.78,-73.87,21.0,America/New_York
858,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.55,2.74,27.0,Europe/Madrid
859,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,LHBP,47.43,19.26,495.0,Europe/Budapest
860,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,SGN,VVTS,10.82,106.65,33.0,Asia/Saigon
861,Eppley Airfield,Omaha,United States,OMA,KOMA,41.3,-95.89,984.0,America/Chicago
862,Zhuhai Jinwan Airport,Zhuhai,China,ZUH,ZGSD,22.01,113.38,23.0,Asia/Shanghai
863,Singapore Changi Airport,Singapore,Singapore,SIN,WSSS,1.35,103.99,22.0,Asia/Singapore
864,Edinburgh Airport,Edinburgh,United Kingdom,EDI,EGPH,55.95,-3.37,135.0,Europe/London
865,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.68,-79.63,569.0,America/Toronto
866,Presidente Juscelino Kubistschek International Airport,Brasilia,Brazil,BSB,SBBR,-15.87,-47.92,3497.0,America/Sao_Paulo
867,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,SBRF,-8.13,-34.92,33.0,America/Fortaleza
868,Malpensa International Airport,Milano,Italy,MXP,LIMC,45.63,8.73,768.0,Europe/Rome
869,Jose Maria Córdova International Airport,Rio Negro,Colombia,MDE,SKRG,6.16,-75.42,6955.0,America/Bogota
870,Ten. Cel. Aviador César Bombonato Airport,Uberlandia,Brazil,UDI,SBUL,-18.88,-48.23,3094.0,America/Sao_Paulo
871,Jieyang Chaoshan International Airport,Shantou,China,SWA,ZGOW,23.55,116.5,0.0,Asia/Shanghai
872,Palonegro Airport,Bucaramanga,Colombia,BGA,SKBG,7.13,-73.18,3897.0,America/Bogota
873,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,TPP,SPST,-6.51,-76.37,869.0,America/Lima
874,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,SCL,SCEL,-33.39,-70.79,1555.0,America/Santiago
875,Will Rogers World Airport,Oklahoma City,United States,OKC,KOKC,35.39,-97.6,1295.0,America/Chicago
876,Capitán FAP Guillermo Concha Iberico International Airport,Piura,Peru,PIU,SPUR,-5.21,-80.62,120.0,America/Lima
877,Wenzhou Longwan International Airport,Wenzhou,China,WNZ,ZSWZ,27.91,120.85,0.0,Asia/Shanghai
878,Bodø Airport,Bodo,Norway,BOO,ENBO,67.27,14.37,42.0,Europe/Oslo
879,Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,SASA,-24.86,-65.49,4088.0,America/Argentina/Salta
880,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,LHBP,47.43,19.26,495.0,Europe/Budapest
881,Il Caravaggio International Airport,Bergamo,Italy,BGY,LIME,45.67,9.7,782.0,Europe/Rome
882,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,LHBP,47.43,19.26,495.0,Europe/Budapest
883,Warsaw Chopin Airport,Warsaw,Poland,WAW,EPWA,52.17,20.97,362.0,Europe/Warsaw
884,Muscat International Airport,Muscat,Oman,MCT,OOMS,23.59,58.28,48.0,Asia/Muscat
885,Yemelyanovo Airport,Krasnoyarsk,Russia,KJA,UNKL,56.17,92.49,942.0,Asia/Krasnoyarsk
886,Governador Aluízio Alves International Airport,Natal,Brazil,NAT,SBSG,-5.77,-35.38,272.0,America/Fortaleza
887,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,SGN,VVTS,10.82,106.65,33.0,Asia/Saigon
888,Don Mueang International Airport,Bangkok,Thailand,DMK,VTBD,13.91,100.61,9.0,Asia/Bangkok
889,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.19,-123.18,14.0,America/Vancouver
890,Tucson International Airport,Tucson,United States,TUS,KTUS,32.12,-110.94,2643.0,America/Phoenix
891,El Calafate Airport,El Calafate,Argentina,FTE,SAWC,-50.28,-72.05,669.0,America/Argentina/Rio_Gallegos
892,Suvarnabhumi Airport,Bangkok,Thailand,BKK,VTBS,13.68,100.75,5.0,Asia/Bangkok
893,Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-32.9,-60.78,85.0,America/Cordoba
894,Nice-Côte d'Azur Airport,Nice,France,NCE,LFMN,43.66,7.22,12.0,Europe/Paris
895,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.11,-114.02,3557.0,America/Edmonton
896,Ministro Pistarini International Airport,Buenos Aires,Argentina,EZE,SAEZ,-34.82,-58.54,67.0,America/Buenos_Aires
897,Xining Caojiabu Airport,Xining,China,XNN,ZLXN,36.53,102.04,7119.0,Asia/Shanghai
898,Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-32.9,-60.78,85.0,America/Cordoba
899,Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,Brazil,SJP,SBSR,-20.82,-49.41,1784.0,America/Sao_Paulo
900,Ufa International Airport,Ufa,Russia,UFA,UWUU,54.56,55.87,449.0,Asia/Yekaterinburg
901,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.79,-67.47,189.0,America/Catamarca
902,Kansas City International Airport,Kansas City,United States,MCI,KMCI,39.3,-94.71,1026.0,America/Chicago
903,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.63,9.99,53.0,Europe/Berlin
904,Governador Aluízio Alves International Airport,Natal,Brazil,NAT,SBSG,-5.77,-35.38,272.0,America/Fortaleza
905,Henri Coandă International Airport,Bucharest,Romania,OTP,LROP,44.57,26.09,314.0,Europe/Bucharest
906,Haikou Meilan International Airport,Haikou,China,HAK,ZJHK,19.93,110.46,75.0,Asia/Shanghai
907,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,LHBP,47.43,19.26,495.0,Europe/Budapest
908,Ontario International Airport,Ontario,United States,ONT,KONT,34.06,-117.6,944.0,America/Los_Angeles
909,Comandante Espora Airport,Bahia Blanca,Argentina,BHI,SAZB,-38.73,-62.17,246.0,America/Buenos_Aires
910,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,ADZ,SKSP,12.58,-81.71,19.0,America/Bogota
911,Capitan FAP Jose A Quinones Gonzales International Airport,Chiclayo,Peru,CIX,SPHI,-6.79,-79.83,97.0,America/Lima
912,Denver International Airport,Denver,United States,DEN,KDEN,39.86,-104.67,5431.0,America/Denver
913,Senador Petrônio Portela Airport,Teresina,Brazil,THE,SBTE,-5.06,-42.82,219.0,America/Fortaleza
914,Los Garzones Airport,Monteria,Colombia,MTR,SKMR,8.82,-75.83,36.0,America/Bogota
915,Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.85,-77.04,15.0,America/New_York
916,Marseille Provence Airport,Marseille,France,MRS,LFML,43.44,5.22,74.0,Europe/Paris
917,Nashville International Airport,Nashville,United States,BNA,KBNA,36.12,-86.68,599.0,America/Chicago
918,Ernesto Cortissoz International Airport,Barranquilla,Colombia,BAQ,SKBQ,10.89,-74.78,98.0,America/Bogota
919,Taoxian Airport,Shenyang,China,SHE,ZYTX,41.64,123.48,198.0,Asia/Shanghai
920,Chhatrapati Shivaji International Airport,Mumbai,India,BOM,VABB,19.09,72.87,39.0,Asia/Calcutta
921,Zhengzhou Xinzheng International Airport,Zhengzhou,China,CGO,ZHCC,34.52,113.84,495.0,Asia/Shanghai
922,Guilin Liangjiang International Airport,Guilin,China,KWL,ZGKL,25.22,110.04,570.0,Asia/Shanghai
923,Cheddi Jagan International Airport,Georgetown,Guyana,GEO,SYCJ,6.5,-58.25,95.0,America/Guyana
924,Palonegro Airport,Bucaramanga,Colombia,BGA,SKBG,7.13,-73.18,3897.0,America/Bogota
925,,,,,,,,,
926,Daniel K Inouye International Airport,Honolulu,United States,HNL,PHNL,21.32,-157.92,13.0,Pacific/Honolulu
927,Simferopol International Airport,Simferopol,Ukraine,SIP,UKFF,45.05,33.98,639.0,Europe/Simferopol
928,Palonegro Airport,Bucaramanga,Colombia,BGA,SKBG,7.13,-73.18,3897.0,America/Bogota
929,Hefei Luogang International Airport,Hefei,China,HFE,ZSOF,31.78,117.3,108.0,Asia/Shanghai
930,Salgado Filho Airport,Porto Alegre,Brazil,POA,SBPA,-29.99,-51.17,11.0,America/Sao_Paulo
931,King Abdulaziz International Airport,Jeddah,Saudi Arabia,JED,OEJN,21.68,39.16,48.0,Asia/Riyadh
932,Eppley Airfield,Omaha,United States,OMA,KOMA,41.3,-95.89,984.0,America/Chicago
933,Will Rogers World Airport,Oklahoma City,United States,OKC,KOKC,35.39,-97.6,1295.0,America/Chicago
934,Vitória da Conquista Airport,Vitória Da Conquista,Brazil,VDC,SBQV,-14.86,-40.86,3002.0,America/Fortaleza
935,Stavanger Airport Sola,Stavanger,Norway,SVG,ENZV,58.88,5.64,29.0,Europe/Oslo
936,Orlando International Airport,Orlando,United States,MCO,KMCO,28.43,-81.31,96.0,America/New_York
937,Brussels Airport,Brussels,Belgium,BRU,EBBR,50.9,4.48,184.0,Europe/Brussels
938,General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,TIJ,MMTJ,32.54,-116.97,489.0,America/Tijuana
939,Norfolk International Airport,Norfolk,United States,ORF,KORF,36.89,-76.2,26.0,America/New_York
940,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,KDTW,42.21,-83.35,645.0,America/New_York
941,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.04,-106.61,5355.0,America/Denver
942,Capitán FAP Guillermo Concha Iberico International Airport,Piura,Peru,PIU,SPUR,-5.21,-80.62,120.0,America/Lima
943,El Plumerillo Airport,Mendoza,Argentina,MDZ,SAME,-32.83,-68.79,2310.0,America/Mendoza
944,Memphis International Airport,Memphis,United States,MEM,KMEM,35.04,-89.98,341.0,America/Chicago
945,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.03,8.57,364.0,Europe/Berlin
946,Quanzhou Jinjiang International Airport,Quanzhou,China,JJN,ZSQZ,24.8,118.59,0.0,Asia/Shanghai
947,John Glenn Columbus International Airport,Columbus,United States,CMH,KCMH,40.0,-82.89,815.0,America/New_York
948,Stavanger Airport Sola,Stavanger,Norway,SVG,ENZV,58.88,5.64,29.0,Europe/Oslo
949,Simón Bolívar International Airport,Caracas,Venezuela,CCS,SVMI,10.6,-66.99,234.0,America/Caracas
950,Lanzarote Airport,Arrecife,Spain,ACE,GCRR,28.95,-13.61,46.0,Atlantic/Canary
951,Longjia Airport,Changchun,China,CGQ,ZYCC,44.0,125.68,706.0,Asia/Shanghai
952,Kunming Changshui International Airport,Kunming,China,KMG,ZPPP,25.1,102.93,6903.0,Asia/Shanghai
953,,,,,,,,,
954,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,KOA,PHKO,19.74,-156.05,47.0,Pacific/Honolulu
955,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.69,9.22,1276.0,Europe/Berlin
956,La Guardia Airport,New York,United States,LGA,KLGA,40.78,-73.87,21.0,America/New_York
957,Koltsovo Airport,Yekaterinburg,Russia,SVX,USSS,56.74,60.8,764.0,Asia/Yekaterinburg
958,Simón Bolívar International Airport,Santa Marta,Colombia,SMR,SKSM,11.12,-74.23,22.0,America/Bogota
959,Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,MMMX,19.44,-99.07,7316.0,America/Mexico_City
