,origin_airport_name,origin_airport_city,origin_airport_country,origin_airport_iata,origin_icao,origin_lat,origin_long,origin_altitude,origin_timezone
56,Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.69,-74.17,18.0,America/New_York
57,Presidente Peron Airport,Neuquen,Argentina,NQN,SAZN,-38.95,-68.16,895.0,America/Argentina/Salta
58,El Tepual Airport,Puerto Montt,Chile,PMC,SCTE,-41.44,-73.09,294.0,America/Santiago
59,Changsha Huanghua International Airport,Changcha,China,CSX,ZGHA,28.19,113.22,217.0,Asia/Shanghai
60,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,SBRF,-8.13,-34.92,33.0,America/Fortaleza
61,Vilnius International Airport,Vilnius,Lithuania,VNO,EYVI,54.63,25.29,648.0,Europe/Vilnius
62,Kahului Airport,Kahului,United States,OGG,PHOG,20.9,-156.43,54.0,Pacific/Honolulu
63,Carriel Sur Airport,Concepcion,Chile,CCP,SCIE,-36.77,-73.06,26.0,America/Santiago
64,Jacksonville International Airport,Jacksonville,United States,JAX,KJAX,30.49,-81.69,30.0,America/New_York
65,San Pedro Airport,San Pedro,Belize,SPR,MZSP,17.91,-87.97,4.0,America/Belize
66,El Plumerillo Airport,Mendoza,Argentina,MDZ,SAME,-32.83,-68.79,2310.0,America/Mendoza
67,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,MMPR,20.68,-105.25,23.0,America/Mexico_City
68,Ministro Pistarini International Airport,Buenos Aires,Argentina,EZE,SAEZ,-34.82,-58.54,67.0,America/Buenos_Aires
69,Gothenburg-Landvetter Airport,Gothenborg,Sweden,GOT,ESGG,57.66,12.28,506.0,Europe/Stockholm
70,Miami International Airport,Miami,United States,MIA,KMIA,25.79,-80.29,8.0,America/New_York
71,Liuting Airport,Qingdao,China,TAO,ZSQD,36.27,120.37,33.0,Asia/Shanghai
72,San Pedro Airport,San Pedro,Belize,SPR,MZSP,17.91,-87.97,4.0,America/Belize
73,Marechal Rondon Airport,Cuiaba,Brazil,CGB,SBCY,-15.65,-56.12,617.0,America/Campo_Grande
74,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,TJSJ,18.44,-66.0,9.0,America/Puerto_Rico
75,Yangon International Airport,Yangon,Burma,RGN,VYYY,16.91,96.13,109.0,Asia/Rangoon
76,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,LHBP,47.43,19.26,495.0,Europe/Budapest
77,Reno Tahoe International Airport,Reno,United States,RNO,KRNO,39.5,-119.77,4415.0,America/Los_Angeles
78,Denver International Airport,Denver,United States,DEN,KDEN,39.86,-104.67,5431.0,America/Denver
79,Ufa International Airport,Ufa,Russia,UFA,UWUU,54.56,55.87,449.0,Asia/Yekaterinburg
80,Piarco International Airport,Port-of-spain,Trinidad and Tobago,POS,TTPP,10.6,-61.34,58.0,America/Port_of_Spain
81,Tirana International Airport Mother Teresa,Tirana,Albania,TIA,LATI,41.41,19.72,126.0,Europe/Tirane
82,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,PANC,61.17,-150.0,152.0,America/Anchorage
83,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.9,-97.04,607.0,America/Chicago
84,Ufa International Airport,Ufa,Russia,UFA,UWUU,54.56,55.87,449.0,Asia/Yekaterinburg
85,Lihue Airport,Lihue,United States,LIH,PHLI,21.98,-159.34,153.0,Pacific/Honolulu
86,Singapore Changi Airport,Singapore,Singapore,SIN,WSSS,1.35,103.99,22.0,Asia/Singapore
87,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,LIRF,41.8,12.24,13.0,Europe/Rome
88,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.49,-80.23,1203.0,America/New_York
89,Zhengzhou Xinzheng International Airport,Zhengzhou,China,CGO,ZHCC,34.52,113.84,495.0,Asia/Shanghai
90,Cochin International Airport,Kochi,India,COK,VOCI,10.15,76.4,30.0,Asia/Calcutta
91,Dabolim Airport,Goa,India,GOI,VAGO,15.38,73.83,150.0,Asia/Calcutta
92,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,SSA,SBSV,-12.91,-38.32,64.0,America/Fortaleza
